"#3",1
"-RENO",1
"/WALDPORT",1
"0RLANDO",1
"202-4",1
"315-299-8393",1
"92506-2723",1
"A",493
"A.P",2
"A.P.O",4
"A;BANS",1
"A;PHARETTA",1
"AA",2
"AAF",12
"AANGELES",1
"AARONSBURG",2
"AARROYO",1
"AB",4
"ABBERVILLE",1
"ABBEVILLE",437
"ABBOT",2
"ABBOTSFORD",38
"ABBOTT",13
"ABBOTTSTOWN",10
"ABBUQUERQUE",1
"ABC",1
"ABDERSON",1
"ABEMARLE",2
"ABERCROMBIE",1
"ABERDEEM",1
"ABERDEEN",1561
"ABERNATHY",20
"ABILENE",1829
"ABILEUE",2
"ABINGDON",927
"ABINGOTN",1
"ABINGTON",878
"ABIQUIU",9
"ABITA",53
"ABQ",9
"ABRAMS",13
"ABRRE",1
"ABSAROKEE",25
"ABSECON",157
"ABUQUERQUE",3
"ABURNDALE",1
"AC",1
"ACAD",5
"ACADEMY",169
"ACAMPO",31
"ACCIDENT",11
"ACCOKEEK",93
"ACCOMAC",25
"ACCOMACK",3
"ACCORD",65
"ACCOVILLE",1
"ACHILLE",5
"ACHILLES",1
"ACKERLY",1
"ACKERMAN",52
"ACKLEY",19
"ACKSONVILLE",1
"ACKWORTH",2
"ACME",37
"ACOMA",16
"ACOMITA",2
"ACRA",4
"ACRES",688
"ACTON",592
"ACUSHNET",74
"ACWORTH",777
"ADA",1025
"ADAIR",29
"ADAIRSVILLE",79
"ADAIRVILLE",5
"ADAK",3
"ADAMANT",4
"ADAMS",484
"ADAMSBURG",3
"ADAMSTOWN",28
"ADAMSVILLE",104
"ADDIS",16
"ADDISLEIGH",5
"ADDISO",1
"ADDISON",1049
"ADDISONT",1
"ADDSION",3
"ADDY",6
"ADDYSTON",12
"ADEL",183
"ADELANTO",63
"ADELL",11
"ADELPHI",292
"ADELPHIA",8
"ADELPHIN",1
"ADENA",13
"ADENVILLE",7
"ADGER",1
"ADIN",3
"ADIRONDACK",2
"ADJUNTAS",127
"ADKINS",27
"ADNA",3
"ADOLPHUS",5
"ADRA",1
"ADRIAN",652
"ADSECON",1
"ADVANCE",191
"AE",102
"AETNA",1
"AF",3
"AFB",4971
"AFEE",4
"AFFTON",48
"AFS",1
"AFTON",316
"AFV",1
"AGANA",53
"AGANCY",1
"AGAT",5
"AGATE",2
"AGATHA",3
"AGATNA",1
"AGAWAM",220
"AGAWAN",2
"AGCENY",1
"AGENCY",98
"AGNELES",1
"AGOURA",611
"AGOURAL",1
"AGRA",12
"AGUA",14
"AGUADA",536
"AGUADILL",1
"AGUADILLA",1073
"AGUADILLLA",1
"AGUADO",1
"AGUANGA",4
"AGUAS",173
"AGUDILLA",1
"AGUIRRE",28
"AGUSTA",5
"AHAHEIM",1
"AHILO",2
"AHOSKIE",276
"AHWAHNEE",7
"AHWATUKEE",2
"AIASCADERO",2
"AIBINITO",1
"AIBONITO",432
"AIBONTIO",1
"AIBORITO",1
"AICA",2
"AIEA",920
"AIIBONITO",1
"AIKEN",1046
"AILEN",1
"AILEY",10
"AINSWORTH",39
"AINT",1
"AIR",1669
"AIRBASE",2
"AIRE",67
"AIRFIELD",7
"AIRFORCE",5
"AIRMONT",212
"AIRVILLE",3
"AIRWAY",39
"AIRY",645
"AITKIN",92
"AITO",1
"AJO",25
"AJPACHE",2
"AKE",2
"AKELEY",10
"AKHIOK",1
"AKIAK",1
"AKIN",2
"AKRON",4705
"AKUTAN",4
"AKWESASNE",8
"AL",2
"ALABAMA",1
"ALABASTER",376
"ALACHUA",213
"ALADDIN",1
"ALAHAMBRA",1
"ALAKANUK",2
"ALAMAGORDO",1
"ALAMANCE",6
"ALAMEDA",1300
"ALAMITOS",1080
"ALAMO",446
"ALAMOGORDO",577
"ALAMOGRADO",1
"ALAMORGORDO",1
"ALAMOS",369
"ALAMOSA",253
"ALAMTIOS",2
"ALANSON",10
"ALANTA",4
"ALANY",3
"ALAPAHA",5
"ALATMONTE",1
"ALAVARDO",1
"ALB",9
"ALBA",2
"ALBANS",1079
"ALBANY",8598
"ALBANYF",1
"ALBEMARALE",1
"ALBEMARLE",493
"ALBEQUERQUE",1
"ALBER",2
"ALBERMARIE",1
"ALBERMARLE",5
"ALBERQUERQUE",1
"ALBERS",6
"ALBERT",263
"ALBERTA",7
"ALBERTON",13
"ALBERTSON",373
"ALBERTVILLE",285
"ALBIA",69
"ALBIN",4
"ALBION",461
"ALBMARLE",1
"ALBONITO",2
"ALBORN",1
"ALBQ",2
"ALBQUERQUE",2
"ALBRIGHT",3
"ALBRIGHTSVILLE",36
"ALBU",1
"ALBUERQUE",1
"ALBUERUQUE",2
"ALBUQ",12
"ALBUQERQUE",9
"ALBUQEURQUE",1
"ALBUQUEQUE",5
"ALBUQUERGUE",1
"ALBUQUERQNE",1
"ALBUQUERQUE",15152
"ALBUQUERUE",1
"ALBUQUERUQE",2
"ALBUQUERUQUE",3
"ALBUQUREQUE",1
"ALBUQURQUE",8
"ALBURG",7
"ALBURGH",2
"ALBURNETT",5
"ALBURQUERQUE",12
"ALBURTIS",36
"ALCALDE",6
"ALCESTER",28
"ALCOA",120
"ALCOLU",2
"ALCORN",2
"ALCOVA",2
"ALDA",1
"ALDAN",85
"ALDEN",147
"ALDER",2
"ALDERPOINT",1
"ALDERSON",24
"ALDIE",63
"ALDRICH",2
"ALE",1
"ALEA",5
"ALEDO",203
"ALEKNAGIK",2
"ALEMEDA",2
"ALENCIA",1
"ALENE",1322
"ALENSTOWN",1
"ALEPPO",2
"ALESTER",2
"ALEX",17
"ALEXANADRIA",1
"ALEXANDER",418
"ALEXANDERIA",1
"ALEXANDIA",2
"ALEXANDIRA",1
"ALEXANDRA",3
"ALEXANDRIA",7165
"ALEXIS",12
"ALFORD",10
"ALFRED",122
"ALGER",24
"ALGODONES",5
"ALGOMA",45
"ALGONA",94
"ALGONAC",56
"ALGONQUIN",441
"ALGOOD",17
